RECIPE;INGREDIENT;AMOUNT
"first";"Bulvės";"2 vnt"
"first";"Mocarelos sūris";"500 g"
"first";"Kietasis sūris";"100 g"
"first";"Itališkų žolelių mišinys";"0.5 šaukštelio"
"first";"Džiovintas raudonėlis";"1.5 šaukštelio"
"first";"Baklažanas";"1 vnt"
"first";"Cukinija";"1 vnt"
"first";"Pievagrybiai";"250 g"
"first";"Svogūnas";"1 vnt"
"second";"Sviestas";"200 g"
"second";"Liesa griedinė";"150 g"
"second";"Cukrus";"370 g"
"second";"Vanilinio cukraus milteliai";"40 g"
"second";"Šviežio imbiero šaknis";"4 cm"
"second";"Miltai";"450 g"
"second";"Kiaušiniai";"6 vnt"
"third";"Brandintos jautienos nugarinė";"1 kg"
"third";"Mėgstamas aliejus";"2 šaukštų"
"third";"Sviestas";"50 g"
"fourth";"Miltai";"200 g"
"fourth";"Vistiena";"800 g"
"fourth";"Paprika";"2 vnt"
"fourth";"Pievagrybiai";"120 g"
"fourth";"Kiaušiniai";"4 vnt"
"fourth";"Svogūnas";"1 vnt"
"fifth";"Miltai";"500 g"
"fifth";"Kiaušiniai";"4 vnt"
"fifth";"Cukrus";"150 g"
"fifth";"Vanilinio cukraus milteliai";"20 g"
"fifth";"Mėgstamas aliejus";"4 šaukštai"
"fifth";"Pienas";"300 ml"

